"name";"lat";"lon"
"reykjavik univ";64,124701;-21,92749673
"army res lab";10,3675028;22,6115472
"univ liberal arts";35,1851087;-111,655837
"southern illinois univ";38,7926071;-89,99578734
"res consortium";47,3133716;5,0459389
"massachusetts gen hosp";43,0471379;-83,6765075
"mit sloan sch management";42,36135215;-71,0825209
"democritus univ thrace";40,84941785;25,83444939
"azm ctr res";34,38649905;35,78987849
"kabardino balkarian state univ";43,4962614;43,59548543
"don state tech univ";26,38456815;-80,1193314
"guangdong univ tech";23,15136285;113,3015149
"shandong univ tech";36,1964526;117,1054815
"cork inst tech";51,8839904;-8,533989853
"lulea univ tech";65,61991265;22,1410701
"fujian univ tech";26,03858425;119,190915
"hefei univ tech";31,82341655;117,2758194
"athlone inst tech";53,41846485;-7,904063453
"inner mongolia univ tech";40,7864425;111,5456861
"hunan univ tech";28,2290209;112,994832
"narula inst tech";22,67654445;88,37917786
"heritage inst tech";12,94609405;80,21082554
"higher coll tech";25,2852688;55,37646241
"govt coll tech";30,16438;71,491814
"shonan inst tech";35,3248741;139,451922
"huawei tech";30,7669142;103,8923921
"wuhan univ tech";30,5243181;114,3444306
"waterford inst tech";52,25393985;-7,178901384
"vietnam natl univ hcmc";10,8753922;106,8025328
"nanyang inst tech";31,02572935;121,4421938
"chengdu univ tech";30,67714825;104,1444366
"zhejiang univ tech";30,23109915;120,0365741
"dongguan univ tech";23,05338595;113,7684228
"indian inst tech";19,13261855;72,91497913
"unitec inst tech";-36,87743685;174,707759
"technion israel inst tech";32,7767536;35,02414529
"psg coll tech";11,0246833;77,00284246
"tech and data";51,2805401;-0,796022962
"chennai inst tech";12,94609405;80,21082554
"tampere univ tech";61,4498416;23,8590413
"india inst tech";12,97229435;79,16075428
"inst tech";-6,8150675;39,27914679
"nanjing inst tech";31,9263198;118,876759
"tech inst philippines";7,2061694;124,2399234
"letterkenny inst tech";54,9515642;-7,720247837
"mil univ tech";52,25287475;20,90412321
"madan mohan malaviya univ tech";26,7314167;83,43733473
"noida inst engn and tech";28,4627631;77,49075836
"ramaiah inst tech";13,03098165;77,56603971
"birla inst tech";28,35866475;75,58825578
"hcmc univ tech";10,8675233;106,7935668
"pes inst tech";13,9620733;75,50935729
"corp tech";44,5157771;26,08074749
"china univ min and tech";22,53365215;113,9178601
"blackridge tech";40,4425706;-79,8506391
"soochow univ";25,09475915;121,5454306
"univ externado colombia";4,60004595;-74,07331927
"kingdee res";22,5375022;113,950148
"calif univ";37,98042375;-121,3128472
"fed reserve bank";58,921623;6,5057918
"beijing union univ";39,9890068;116,4206772
"kostroma state univ";57,76740925;40,91875736
"e finance lab";14,4268031;121,0260007
"tuck sch business dartmouth";43,7047927;-72,2925909
"univ wisconsin madison";43,07982815;-89,43066425
"univ autonoma chile";-38,7334741;-72,61922432
"univ chile";-39,8214165;-73,24843983
"wright state univ";39,78420385;-84,05677987
"ios press";53,1825142;-1,4514214
"freres mentouri univ";36,70598225;3,172003827
"esch sur alzette";49,4959628;5,9850306
"colorado sch mines";39,74906405;-105,2229822
"bucks new univ";51,6286138;-0,7541691
"heinrich heine univ";51,1907557;6,793512941
"univ bodenkultur wien";48,2527457;16,3690911
"luxembourg inst sci and tech";49,50622535;5,94381457
"paris viii univ";14,3241824;120,9584945
"indian inst tech roorkee";29,8662461;77,89587081
"lanzhou univ tech";36,0565217;103,7311825
"univ liege";50,61711075;5,563023426
"ateneo manila univ";14,6416071;121,0794948
"voronezh state tech univ";51,6795603;39,218008
"unabhangiges landeszentrum datenschutz schleswig";54,3196954;10,1335245
"madrid open univ";-34,90067085;-56,18128949
"ctr res and dev";51,541055;-0,1421361
"moscow city univ";55,7607158;37,6481852
"univ st louis";38,6543227;-90,2142724
"southern taiwan univ sci and tech";23,0232216;120,2251713
"fae business sch";43,7302993;3,3194473
"lab c v";50,9439693;3,1239823
"la paz univ hosp";14,6619178;120,9693619
"erzincan univ";39,7602126;39,50946204
"univ roma la sapienza";41,9034614;12,51480435
"dublin inst tech";53,35659575;-6,249619945
"hassan ii univ";33,54834045;-7,651158463
"indiana univ purdue univ";40,4262569;-86,9157551
"boston childrens hosp";42,33734685;-71,1057172
"univ paris ii pantheon assas";48,8487592;2,345378359
"univ anahuac mexico";19,50202255;-96,88069519
"vmware res grp";12,9065832;77,59484654
"univ otavalo";0,23645;-78,2593833
"univ paris ii";35,64883905;139,7427707
"open univ netherlands";50,8778442;5,959541396
"singular univ";43,266422;-2,932307874
"univ commons";41,8616937;-87,65370198
"adam mickiewicz univ";54,6828932;25,28789544
"yale sch med";42,29993;-71,1072627
"univ south wales";52,4176313;-4,065152
"french cochrane ctr";49,6678864;-80,5344456
"norddeutsche landesbank";52,3708202;9,7429675
"lab liser";49,919055;7,020769
"univ tilburg";51,56306085;5,043598468
"amrita univ";9,0959501;76,49019188
"florida polytech univ";4,60004595;-74,07331927
"berlin univ tech";52,5152614;13,40190866
"hansei univ korea";37,34403735;126,9537027
"sejong cyber univ";37,5532454;127,0725951
"cha univ";42,36782045;-71,12666653
"univ reggio calabria";38,12073935;15,66839169
"univ evry";48,6233961;2,424448083
"yanshan univ";25,09806815;110,2835816
"hertfordshire univ";51,75170145;-0,234993369
"yahoo res";37,4181243;-122,0253802
"edf lab paris saclay";48,7164044;2,196915314
"wuhan univ tech whut";30,5223609;114,3496565
"amity univ uttar pradesh";26,85095965;81,04950965
"ca foscari univ";45,4458673;12,31793814
"hebrew univ jerusalem";31,8001219;35,23863982
"kiit univ";7,5777325;-1,9552244
"bayreuth univ";49,9270796;11,58722662
"northumbria univ newcastle";55,0030632;-1,574632311
"univ reims";49,2370545;4,003007324
"univ tunis el manar";36,829187;10,14631104
"nazan univ";43,54749485;1,510571727
"rheinische friedrich wilhelms univ";50,7338124;7,1022465
"ss cyril and methodius univ";42,0000955;21,44347171
"dept sci and tech";14,2781873;120,8683705
"dept tech";22,317215;87,3137737
"univ bamberg";49,89528155;10,88281337
"univ west";52,4511716;-1,9366021
"ibm singapore lab";1,37313565;103,9293179
"ibm res africa";-1,3515563;36,7574172
"friedrich alexander univ";49,57286205;11,02736723
"univ dublin";53,38522185;-6,257408741
"univ lugano";46,00604295;8,939860357
"nelson mandela metropolitan univ";-29,1106677;26,1864764
"blue label telecoms";-26,1002246;28,0509169
"mmu univ";40,76066025;-74,4280349
"ericsson res india";28,4326288;77,152288
"vit univ";12,97018135;79,1563086
"srm univ";12,82342625;80,04580004
"telenor res";60,28854595;5,2597254
"chitkara univ";30,87767255;76,87280738
"iiit univ";12,8626745;77,6648821
